epoch,seed0,seed1,seed2
1,1.660943031,1.321297646,1.447866201
2,1.234878063,1.063510656,1.135700226
3,1.111087799,0.976351261,1.036957264
4,1.128926039,0.985813141,1.090099812
5,1.082931042,0.989037275,1.036843777
6,1.106968641,1.05303812,1.020144224
7,1.116777182,1.069936514,0.98814559
8,1.119664192,1.047307014,0.98540163
9,1.129236698,1.036082506,0.979604483
10,1.107781172,1.027332783,0.968338251
11,1.04264307,1.027677774,0.98394084
12,1.030086279,1.081186295,0.977560759
13,1.049541473,1.043556452,0.999539137
14,1.047473669,1.057998657,1.060510635
15,1.062753201,1.052369833,1.078785181
16,1.077761889,1.057455063,1.092236519
17,1.106944323,1.052912712,1.095318794
18,1.096712589,1.061721087,1.094603539
19,1.086113453,1.023969173,1.062360525
20,1.102814436,1.037912607,1.137562037
21,1.102806807,1.031005621,1.129642248
22,1.078121901,1.049724579,1.09577632
23,1.09762907,1.038530588,1.119493723
24,1.077333689,1.015622139,1.016676664
25,1.067916393,1.0341959,0.994716167
26,1.062538385,1.015781403,0.986305952
27,1.077604771,1.064324617,0.985346794
28,1.05461216,1.098376751,0.978089333
29,1.094312906,1.091265917,0.980176687
30,1.085553408,1.091887474,0.976788759
31,1.080354691,1.063067913,0.983985662
32,1.051848888,1.094038486,0.994822741
33,1.06176877,1.07619071,0.978115797
34,1.072983742,1.074077129,0.987460852
35,1.054412365,1.045740366,0.978458405
36,1.072366238,1.126869202,0.981474876
37,1.080723047,1.187054157,0.968776226
38,1.077908039,1.060256004,0.984802246
39,1.089130402,1.03789115,0.976913452
40,1.076519728,1.057185411,0.978573322
