epoch,seed0,seed1,seed2
1,1.606694937,1.643179417,1.773928404
2,0.755730867,0.852680206,0.828086853
3,0.73593092,0.834525347,0.721540928
4,0.750089407,0.781733036,0.714703798
5,0.75,0.713927031,0.716104269
6,0.774728537,0.713773489,0.717162609
7,0.799981833,0.712314606,0.721669197
8,0.776123524,0.718298674,0.71760869
9,0.770806789,0.705278158,0.719691992
10,0.77758646,0.69934988,0.704554558
11,0.773922682,0.724398851,0.707967043
12,0.78000474,0.711539268,0.703732491
13,0.755564928,0.714278221,0.715775251
14,0.756103277,0.714354038,0.708939075
15,0.75175643,0.690630674,0.716527224
16,0.768510342,0.715561628,0.715816021
17,0.771657944,0.714178324,0.714257479
18,0.762347937,0.716510534,0.716195583
19,0.760080099,0.721057892,0.709477186
20,0.717660666,0.712717772,0.711069822
21,0.693419218,0.732209206,0.705100298
22,0.704432487,0.721225739,0.706679106
23,0.733800411,0.712249279,0.700113535
24,0.745782137,0.702016115,0.701772451
25,0.724968433,0.703816175,0.716895819
26,0.747368336,0.717207432,0.709828377
27,0.748957157,0.722596169,0.706609011
28,0.726819754,0.714647532,0.712219715
29,0.741661549,0.707178354,0.74644351
30,0.754033566,0.725278378,0.739227295
31,0.963540554,0.704784393,0.788341284
32,0.943925858,0.707342863,0.779144526
33,0.952201843,0.719806433,0.726871252
34,0.995022535,0.714643717,0.713347673
35,0.985355139,0.715997458,0.737728357
36,0.99245882,0.709096432,0.718966484
37,0.981378555,0.72304368,0.707093
38,0.992534876,0.71286869,0.716427326
39,0.979074001,0.723961592,0.713613272
40,0.993017912,0.708298922,0.715596199
