round,seed0,seed1,seed2
0,0,0,0
1,80.67665887,78.5368433,80.03448367
2,79.96242976,77.32415247,78.06536174
3,80.26292229,78.09221387,78.2627275
4,78.62279272,77.03121996,78.85760307
5,79.86590552,79.03846264,79.38745141
6,79.71488953,78.53627014,79.09915471
7,79.09353256,79.88945937,79.3169446
8,78.87813711,78.69123101,76.92680144
9,79.1389215,78.59997773,78.60632777
10,80.73498297,74.59397006,77.75597453
11,79.59078765,77.75434208,78.0531106
12,80.18353534,78.03757477,77.80837584
13,79.80153704,78.64818096,74.73570514
14,81.43909645,78.360569,75.08306456
15,79.85806584,78.10162687,76.86868262
16,78.85037613,79.21268296,78.14255095
17,80.58334279,79.38593149,77.79059482
18,81.09456062,79.24096251,79.28830314
19,79.39759016,79.24217916,78.84164882
20,79.31579852,79.15142441,75.86815
21,79.65246248,79.36310554,78.56321931
22,78.45541358,80.34899569,79.26046896
23,80.42239666,81.01005054,79.18348145
24,80.23046613,79.83761597,79.2249825
25,80.92866397,80.91746521,77.76341057
26,79.48459625,80.90061879,80.41626287
27,78.59178805,79.82197356,78.75276113
28,80.91333413,79.81401467,78.87276077
29,82.11634779,79.68489671,79.51199317
30,80.65692711,81.54826331,78.13846684
31,80.88113213,80.65825939,78.84920621
32,81.22952366,81.27521753,77.6119616
33,82.78454518,79.71681261,79.92440939
34,81.39434767,79.92442322,78.43255663
35,80.25684142,81.22581601,75.88962984
36,81.27265239,80.2229948,78.76821899
37,81.46781111,80.52780485,79.92222476
38,82.09116006,77.76650763,79.18208122
39,80.52940273,80.87321234,78.74095893
40,81.90895534,75.82144499,79.01555061
41,80.48332715,80.71593499,79.76367497
42,81.98157358,78.92444038,77.24105811
43,80.61942863,79.3498385,77.45982623
44,80.34318852,78.8620317,79.26260877
45,82.18053269,78.37525368,78.96518278
46,81.16514087,81.14946604,78.80428863
47,81.544312,80.42999268,79.07603645
48,81.24751949,80.71863031,79.49619222
49,79.76238346,80.86533451,79.62883353
50,80.57725978,78.69155979,78.64546299
51,80.75178051,77.02489448,80.55255461
52,78.75469041,79.97403169,80.59393454
53,81.67507672,80.01400399,78.77369881
54,82.25265551,79.63775873,80.3092587
55,79.88553214,79.45128059,79.2892096
56,80.50530553,80.54348612,77.92686939
57,80.2716682,79.02176738,80.39658833
58,81.5750773,79.83734322,78.49640536
59,81.0895834,80.75907755,78.83449221
60,81.22542763,78.06718922,79.4528091
61,82.12287045,81.4164288,80.19968009
62,81.81797528,81.36905813,80.16035986
63,82.20657277,80.68653798,79.19752288
64,81.59549427,81.57876825,78.90157509
65,79.89174223,79.21511674,79.89174795
66,81.78909802,79.87421227,76.51387644
67,80.97002625,80.10910821,80.06419396
68,79.91104245,79.81417036,79.92221284
69,80.06802011,79.47057462,81.07760072
70,81.982898,79.1132369,78.72286391
71,81.30905032,80.43341637,79.37133121
72,79.6586833,79.52159405,79.29461622
73,81.10155869,79.8220315,79.08937049
74,81.4616003,78.86254668,79.34053278
75,81.47917581,77.19996595,77.35282183
76,78.07938504,80.61352301,80.02755523
77,80.81448889,79.4273777,80.30781174
78,81.46678138,81.21230721,78.38161445
79,81.28811765,80.18538713,80.64043522
80,81.52594137,77.78059387,80.28247428
